,cell_line,modification,individual_name,r,p_value,ci_low,ci_high
26764,HL-60,H3K27ac,MER135,0.08066796494691655,0.028430390113214844,0.00854905979347434,0.15195202105744976
26765,HL-60,H3K27ac,MER58D,-0.11518961384762853,0.001811936820762343,-0.18614834960762783,-0.04303548302168679
26766,HL-60,H3K27ac,MamTip1,-0.01251909999492552,0.7342085207623623,-0.0846113299861782,0.05970351656410953
26767,HL-60,H3K27ac,Tigger12c,-0.03773378363082882,0.30597282920857904,-0.10960398558309382,0.03452892064457673
26768,HL-60,H3K27ac,X30_DNA,0.018180561291229455,0.6226537117570161,-0.054206602044990185,0.09037763343331932
26769,HL-60,H3K27ac,AluYi6,0.03356747121690695,0.37045050829752,-0.039903105829917934,0.10667703273833826
26770,HL-60,H3K27ac,MER57B1,-0.05262165542066756,0.15608776706630928,-0.12480738025904456,0.02011821335135422
26771,HL-60,H3K27ac,LTR2,0.15008492226793668,6.241567273609953e-05,0.07715224119472365,0.22141993532668205
26772,HL-60,H3K27ac,LTR82B,0.02599726276387697,0.48370406140074784,-0.04675400118273217,0.09847418519926622
26773,HL-60,H3K27ac,HERVL-int,0.024893052853191475,0.5105353730065454,-0.04924766231538166,0.09876093947991854
26774,HL-60,H3K27ac,FordPrefect,-0.01273897876717578,0.77651377656544,-0.10040519143726363,0.07512351155141636
26775,HL-60,H3K27ac,L1PA15-16,-0.11085507140151318,0.003078084027862775,-0.18289137696280836,-0.0376348022237677
26776,HL-60,H3K27ac,MER52D,-0.029179692657061728,0.44246414691035374,-0.10332455992829771,0.045287673138607064
26777,HL-60,H3K27ac,MER4-int,0.029126420390609805,0.4400247397270344,-0.04480938572427353,0.10274488471720675
26778,HL-60,H3K27ac,AluYh9,-0.027285754024035904,0.47651456149212196,-0.10209673763489886,0.04783213046198665
26779,HL-60,H3K27ac,LTR82A,0.04103033063428499,0.27833068121082055,-0.033173374237929286,0.11478417588328137
26780,HL-60,H3K27ac,MamGypsy2-LTR,0.08069188822975366,0.03292126464397469,0.006575370906860478,0.15392668818852898
26781,HL-60,H3K27ac,LTR48,-0.09885527706354187,0.009951678480915594,-0.1728106827665863,-0.023791474476128772
26782,HL-60,H3K27ac,LTR54B,-0.11870672725305972,0.001960263333677506,-0.19228432151940492,-0.04380197203396902
26783,HL-60,H3K27ac,Kanga1,-0.0516740309543241,0.17359843743190007,-0.12556059629188657,0.022782609994082492
26784,HL-60,H3K27ac,LOR1a,-0.07424887491569734,0.053130992330351644,-0.1486591466562977,0.0009974597343794744
26785,HL-60,H3K27ac,MER11A,-0.0357702644042056,0.35851214667207987,-0.11172450851013785,0.040599489840918684
26786,HL-60,H3K27ac,hAT-5_Mam,-0.02061077803349558,0.5910446224837732,-0.09553793527462594,0.054548616221202176
26787,HL-60,H3K27ac,MER4A,-0.06395642627380756,0.0993799962088981,-0.1393081922543659,0.0121317243782609
26788,HL-60,H3K27ac,MamTip3B,-0.05979386257048461,0.11956347944648452,-0.1344298336785043,0.015516708403890335
26789,HL-60,H3K27ac,MER90a,-0.05486877762067856,0.15568857283018986,-0.13001707926759382,0.020906297019424803
26790,HL-60,H3K27ac,Tigger12,-0.11363733001873667,0.0031562594173803154,-0.18760179756373818,-0.038391411898979995
26791,HL-60,H3K27ac,MER94B,-0.06189112915929508,0.10841814119672066,-0.13677137104755657,0.013692378446789588
