DNA,LINE,LTR,RC,Retroposon,SINE,cell_line,modification
0.5896280021827892,0.3390729486454022,0.5397094034159543,0.53206073685573,0.48506571209448635,0.6590730664300958,Caco-2,H3K4me1
0.5008882034115022,0.27400074181666517,0.48319291576500517,0.440144352795857,0.5697460935078247,0.5701460354795014,Caco-2,H3K9me3
0.5927050127675758,0.3327712178920333,0.5204359923138738,0.5313727592963325,0.4497704994782055,0.6322532990522479,SJCRH30,H3K27ac
0.5807968345739052,0.31381652044555725,0.5108633053944367,0.5032999927094642,0.44781215305272387,0.631578523569249,SJCRH30,H3K4me1
0.5072408696514367,0.26085833797423036,0.4638920443313707,0.42843266423614695,0.4207192853060925,0.5700533404382524,SJCRH30,H3K9me3
0.641720164580043,0.41721325458585906,0.5246120520479569,0.5643047057107855,0.6323070627558073,0.7364876295933322,SJCRH30,H3K36me3
0.5429508059777169,0.3210216958053007,0.48424578840673566,0.47237072311394984,0.4324320634833975,0.5968763014204707,SJCRH30,H3K27me3
0.6066043642719883,0.355218011010527,0.5051824858474294,0.5245009492075537,0.4826097005733591,0.6856230176162321,SJCRH30,H3K4me3
0.6053478250586787,0.33123247082972523,0.5245081553416074,0.5326009307081886,0.447118166801277,0.6472849921874799,BE2C,H3K4me1
0.5335253214973098,0.24809173623355663,0.4653607104980132,0.4617013597917196,0.4160883886597398,0.5886236150825651,BE2C,H3K9me3
0.6369257667107204,0.4062455575877713,0.5107261658423481,0.5628136580887674,0.6013178519660197,0.7295974275011134,BE2C,H3K36me3
0.5966574214677673,0.36223051483830654,0.5233866258746785,0.5183114719732212,0.42947072265025044,0.6475479922709948,BE2C,H3K27me3
0.6335246106940634,0.350504100674624,0.5510257659881732,0.5790597214035385,0.4625038552378035,0.6920312152448749,SJSA1,H3K27ac
0.5254934527283301,0.2888179578633623,0.4795939753727493,0.46914945976549505,0.4714073968093458,0.5748795487865661,SJSA1,H3K9me3
0.6653346985001206,0.4644604142881278,0.5242721889541488,0.5926245620470767,0.6569122033464821,0.763615148379229,SJSA1,H3K36me3
0.5636392145983204,0.34326569301130533,0.5052613664967753,0.4797656365315136,0.4472855929399308,0.6349181741413615,SJSA1,H3K27me3
0.6064693921056583,0.3765957745986128,0.4867751742554608,0.5215663185756647,0.5204389972924104,0.677369111373789,SJSA1,H3K4me3
0.5905520070053435,0.2756507848133105,0.5117055247610559,0.4924524948481345,0.4289025321867292,0.6707846016257984,HAP-1,H3K27ac
0.6371311292118087,0.3208886732812809,0.5565304873686439,0.5426305182600226,0.4702451858350108,0.7050968915537814,HAP-1,H3K4me1
0.5880053061762021,0.29625192845598747,0.5278951658855281,0.4987481624985495,0.5421737265242393,0.6583549920260081,HAP-1,H3K9me3
0.6504013681774999,0.4022183894725394,0.5215798829435115,0.5505208052496599,0.6119286976907492,0.760568645410341,HAP-1,H3K36me3
0.6285754461914377,0.37437361655969836,0.5568923844008805,0.549940727013887,0.4246465962272053,0.6867843062309413,HAP-1,H3K27me3
0.6378650695229231,0.3776836226164411,0.5095823425125148,0.5455347428857094,0.5150577801246895,0.7364253236963595,HAP-1,H3K4me3
0.6998772674344208,0.4177055497542288,0.606716295044025,0.604713509883433,0.5837852365125212,0.7898572086923088,HL-60,H3K27ac
0.6160525872929626,0.3414542165343647,0.5822929501625614,0.5252534907869586,0.531147776621835,0.6844331800605397,MG63,H3K9me3
0.7719264475226135,0.5399173030149544,0.6251018830709371,0.6778003636511535,0.7219581962079106,0.8716283883053081,MG63,H3K36me3
0.6458385193633203,0.38743045640050267,0.564537014388013,0.5676931729324107,0.4808685410329977,0.693626573455042,MG63,H3K27me3
0.6572173300691936,0.36876974025884757,0.5293567394574793,0.555939795103222,0.5912830347475105,0.7505096002084704,MG63,H3K4me3
0.7024228626807468,0.33473965723088855,0.5758694600813558,0.6357692385193868,0.4737812118833051,0.6994139854906778,VCaP,CTCF
1.0074612725886412,0.7824467992341981,0.8789494280555619,1.0625245028114028,0.8636473852452127,1.0481652647482718,VCaP,H3K27ac
1.0358588028787568,0.7026516408889198,0.8759309438367837,0.9353401735913252,0.9008876632286079,1.0607452830205726,C4-2B,CTCF
0.8363745673674682,0.5571149204357863,0.7352054953573107,0.7784279672987332,0.6136840777527066,0.8395383512783325,C4-2B,H3K27ac
0.805190165031491,0.36962669735334963,0.6695286950394567,0.735358288037619,0.5414177574721498,0.8421145634549756,RWPE2,CTCF
1.0210872675367904,0.7230685100800261,0.8787775489643307,0.9340139993335905,0.8204570448801691,1.1147850492653286,RWPE2,H3K27ac
0.78788562660895,0.5498474933436136,0.6123894902365815,0.6665538219252222,0.7677133451760549,0.900517612083129,RWPE2,H3K36me3
0.620699306063147,0.3138838224790012,0.523107742356632,0.5624407934087455,0.44857924856808234,0.6337028033918223,22Rv1,CTCF
0.7396915639020253,0.5092320658901243,0.6380015871425957,0.7609018982668235,0.6757711191599902,0.8096439104822287,22Rv1,H3K27ac
0.7947320975307545,0.5305534726127578,0.5953173754012858,0.8132112986586203,0.5722067263703252,0.7271392193166387,RWPE1,CTCF
1.3675342705486015,1.0872864007027212,1.2770824165038117,1.1884699069006717,1.2634362220657855,1.5485854749513166,RWPE1,H3K27ac
