,cell_line,modification,individual_name,r,p_value,ci_low,ci_high
0,Caco-2,H3K4me1,AluSx,-0.023583490148554986,3.4844271743315134e-37,-0.02720994407277004,-0.019956415472025323
1,Caco-2,H3K4me1,AluJb,-0.015518396662057097,1.7858754301050762e-14,-0.01948566869543187,-0.011550635955060347
2,Caco-2,H3K4me1,MIRb,-0.026458574892401193,2.2550331117141295e-32,-0.03083415192747993,-0.022081983778087583
3,Caco-2,H3K4me1,MIR,-0.03324211813417871,6.082001717149689e-38,-0.038298189736179426,-0.0281843444854985
4,Caco-2,H3K4me1,AluY,-0.012127734248665364,9.67686474071316e-05,-0.018223886025916222,-0.006030680797880103
5,Caco-2,H3K4me1,L2a,-0.05624565870371724,5.678945938805314e-72,-0.062378409323605784,-0.05010866084795917
6,Caco-2,H3K4me1,L2c,-0.03267424861724128,6.254706601187893e-21,-0.03949223865967821,-0.025853216247176396
7,Caco-2,H3K4me1,MIRc,-0.017805060765974576,6.554707499726408e-07,-0.02481875864829907,-0.010789610158640443
8,Caco-2,H3K4me1,MIR3,-0.020945602346450237,8.763760972191878e-09,-0.02807865107431911,-0.013810420604831713
9,Caco-2,H3K4me1,L2b,-0.03329249043496281,5.168125690325006e-19,-0.04061115438084254,-0.025970254308136397
10,Caco-2,H3K4me1,AluSx1,-0.027517835433944562,2.5322703883616247e-10,-0.03603954335083698,-0.018992125946989225
11,Caco-2,H3K4me1,AluSz,-0.02551515319087697,3.855348321734729e-08,-0.034606761929869966,-0.016419321713787263
12,Caco-2,H3K4me1,L2,-0.03618738820631652,1.3152072728666815e-13,-0.04575616002539295,-0.026611976358043583
13,Caco-2,H3K4me1,AluSp,-0.021007535622481734,4.12445987590896e-05,-0.031044405364113188,-0.01096642967900354
14,Caco-2,H3K4me1,L2d2,-0.033422427140482616,4.233482630349197e-10,-0.04390177082651686,-0.022935729410542602
15,Caco-2,H3K4me1,AluSg,-0.01761994159909757,0.0013487128235885571,-0.02838969768415007,-0.006846095300747778
16,Caco-2,H3K4me1,FLAM_C,0.0005325807105598589,0.9250258093891621,-0.010559406190855953,0.011624436564362111
17,Caco-2,H3K4me1,L1M5,-0.037531370845938224,9.342924301448461e-08,-0.05129156500409184,-0.02375692930261261
18,Caco-2,H3K4me1,MER5A,0.0024882043862019796,0.6662054695665097,-0.008817266267252868,0.0137930390184499
19,Caco-2,H3K4me1,AluSz6,-0.0144857694461875,0.012123328178480759,-0.02580033689943808,-0.0031674910777200705
20,Caco-2,H3K4me1,L3,-0.044402676231751925,8.585764860599278e-14,-0.05604901386231818,-0.03274425697798561
21,Caco-2,H3K4me1,AluSq2,-0.01899052419388371,0.0012437500713522321,-0.030513770775560115,-0.007462230261328007
22,Caco-2,H3K4me1,AluSc,-0.012527644635112183,0.057802093472549776,-0.0254660673881916,0.0004149744620642511
23,Caco-2,H3K4me1,L2d,-0.018837485964295363,0.005922660106995394,-0.03224689463252811,-0.0054212970435809004
24,Caco-2,H3K4me1,MER5B,-0.014534875729294211,0.030789822414034253,-0.02772050281143139,-0.001344191551255569
25,Caco-2,H3K4me1,L1ME4a,-0.034793050517709596,1.1261247453891868e-06,-0.04878484230781864,-0.020787606019958587
26,Caco-2,H3K4me1,AluSx3,-0.018733827940319202,0.009742132273935795,-0.03293172177386697,-0.004528374695264754
27,Caco-2,H3K4me1,AluSc8,-0.006784718546541663,0.35617921513638906,-0.021194482878447787,0.007627864041824213
28,Caco-2,H3K4me1,THE1B,0.0062086898203960305,0.39799923934305426,-0.008189069848514934,0.020603875783513404
29,Caco-2,H3K4me1,MLT1A0,-0.024370896427062125,0.002125529478679719,-0.03990768826210557,-0.008822322798073353
30,Caco-2,H3K4me1,MER20,-0.03467982114097529,1.8160185865295718e-05,-0.05051794748698183,-0.01882425605875562
31,Caco-2,H3K4me1,AluJo,-0.00673634051276794,0.41513089873902265,-0.022935080196242134,0.009465935323185144
32,Caco-2,H3K4me1,L1ME4b,-0.05412658216587888,1.8001250044263321e-10,-0.07072043437349085,-0.03750278026444008
33,Caco-2,H3K4me1,MSTA,-0.027724952586665845,0.0008662964997400442,-0.04402502700453507,-0.011410120867225126
34,Caco-2,H3K4me1,FRAM,-0.0044215252394971755,0.6029803615998042,-0.02108051164565273,0.012239915715774258
35,Caco-2,H3K4me1,AluJr,-0.006660706578928147,0.4326206058651686,-0.023293544926413227,0.009975818135322726
36,Caco-2,H3K4me1,AluSq,-0.00045003956807943734,0.9575794339514333,-0.017031482399330264,0.016131650738494742
37,Caco-2,H3K4me1,L1ME3G,-0.05143772011193939,4.492360416598351e-09,-0.06858794622593667,-0.03425710118072102
38,Caco-2,H3K4me1,MER5A1,-0.020198876150122017,0.017057561678976967,-0.03678466015239481,-0.0036019672086935956
39,Caco-2,H3K4me1,MLT1D,-0.06070962019001766,6.429652804655492e-13,-0.07720801205989355,-0.044177989282241946
40,Caco-2,H3K4me1,L1ME1,-0.08263868529050288,1.5462398293609938e-22,-0.09913964017172114,-0.06609229423123526
41,Caco-2,H3K4me1,L1MC4,-0.08675721761474342,4.98952294711648e-24,-0.10348694654164402,-0.06997841295978849
42,Caco-2,H3K4me1,MIR1_Amn,-0.013751773860200009,0.1230686714152391,-0.031223494810748337,0.00372834847768792
43,Caco-2,H3K4me1,MLT1K,-0.03164657135368514,0.0004406928884122864,-0.04927537405548101,-0.013998057010202264
44,Caco-2,H3K4me1,MER58A,-0.03173125274580884,0.00036299919701240154,-0.049153562123573975,-0.014289639377771094
45,Caco-2,H3K4me1,MLT1C2,-0.016451846432805946,0.06721416918851258,-0.034060820126382105,0.0011673385850176046
46,Caco-2,H3K4me1,MLT1B,-0.008952487428067602,0.32666251319494555,-0.026836345220549652,0.008937099248548457
47,Caco-2,H3K4me1,MLT1J,-0.03186428001830906,0.0008888714922226583,-0.05063285035412417,-0.013073210954571571
48,Caco-2,H3K4me1,THE1D,-0.019394873889430557,0.042437487208857344,-0.038115867489879676,-0.0006602704260535705
49,Caco-2,H3K4me1,L1MB8,-0.08331696565726775,3.718807917133196e-18,-0.10201807560079423,-0.06455698647255402
50,Caco-2,H3K4me1,L1PA4,-0.030849853038915808,0.00151357135427124,-0.04988928419129255,-0.011788008085253682
51,Caco-2,H3K4me1,L1MB3,-0.07853193923606284,8.943025277266751e-16,-0.0975849710170049,-0.05942136334389524
52,Caco-2,H3K4me1,AluYk2,,,,
53,Caco-2,H3K4me1,HAL1,-0.06351089453694264,2.765083419976289e-10,-0.08316714658391393,-0.04380524270364696
