,cell_line,modification,individual_name,r,p_value,ci_low,ci_high
0,Caco-2,H3K4me1,AluSx,-0.023616301835487963,2.8084446319872018e-37,-0.02724301209705049,-0.019988969868958137
1,Caco-2,H3K4me1,AluJb,-0.015566300403350697,1.6214297134512823e-14,-0.019539393575348552,-0.011592715608701828
2,Caco-2,H3K4me1,MIRb,0.009741386042130342,0.26581899832859535,-0.007417607868387198,0.026894644992185003
3,Caco-2,H3K4me1,MIR,-0.0076054274270977665,0.33300856776399046,-0.023000195810967676,0.00779294696553422
4,Caco-2,H3K4me1,AluY,-0.012224041816295462,8.526536851465509e-05,-0.018320828311039716,-0.006126346295260193
5,Caco-2,H3K4me1,L2a,0.002014527965189927,0.8344239200667466,-0.016873406023434512,0.02090102467533681
6,Caco-2,H3K4me1,L2c,-0.019115392834319445,0.1477083272436067,-0.04497300489089445,0.0067678155974596746
7,Caco-2,H3K4me1,MIRc,-0.009546433452390993,0.4720532353592125,-0.03555209453201386,0.016472147618879624
8,Caco-2,H3K4me1,MIR3,0.021102588102754102,0.11061984963676934,-0.004825662226559042,0.04700248338453059
9,Caco-2,H3K4me1,L2b,-0.029807523328931655,0.019016843343252425,-0.0546849858006,-0.004893078105180828
10,Caco-2,H3K4me1,AluSx1,-0.027517835433944562,2.5322703883616247e-10,-0.03603954335083698,-0.018992125946989225
11,Caco-2,H3K4me1,AluSz,-0.02552671467210674,3.812775745283621e-08,-0.03461919993527322,-0.016430003939213855
12,Caco-2,H3K4me1,L2,-0.027694349456233867,0.42166902120433447,-0.09501189814838507,0.03987533506814001
13,Caco-2,H3K4me1,AluSp,-0.020897024207597217,4.5568230107433536e-05,-0.03093776202355002,-0.0108520692542219
14,Caco-2,H3K4me1,L2d2,0.019754171801251403,0.3210803927211323,-0.019272611539787373,0.05872084960734092
15,Caco-2,H3K4me1,AluSg,-0.017622039324346264,0.0013485133423159507,-0.028392933619256974,-0.00684705346382668
16,Caco-2,H3K4me1,FLAM_C,0.00036547999576906306,0.9490357258395619,-0.01084121112439671,0.011572079315463425
17,Caco-2,H3K4me1,L1M5,-0.013922740649785126,0.43224997753949523,-0.04863783264806852,0.02082594797427206
18,Caco-2,H3K4me1,MER5A,-0.003231623443834641,0.737325162726348,-0.022113212850729518,0.015652270509071923
